texts,toxicity
tuyệt_vời ... ! ! !,0
"mỹ tuột_dốc rồi , vực dậy",0
"lái_xe hơi bấm còi "" rất "" lịch "" quá "" văn minh.đường xá chung , người sử_dụng kiên_nhẫn dùng . bấm còi nháy đèn đòi ưu_tiên đi trước . đại mà .",1
coi dịch giặc . xâm_nhập việt nam đầu_hàng cút xéo . việt nam hào !,0
"thương bé quá ! rời mẹ ! chia buồn gia_đình con , cầu_mong vui giới mới !",0
sevila đoạt cúp loạt đá luân_lưu nha,0
angelina_jolie đôi bàn nổi gân_guốc quá !,0
""" tôi xử_lý gã ấy , đánh bùm bùm "" .",0
hình máy chứa 1,0
trung yên_tĩnh,0
"dí súng bóp cò , đạn không nổ , không trường_hợp côn_đồ ! ? bó luônđề nghị_án đi",0
giỏi . tham_gia thành_lập clb tiếng anh . giáo_xứ / chùa / trường ngữ tham_gia hội thiện_nguyện ... kiện học ngoại_ngữ hội ước_mơ,0
"học đại_học mỹ giáo_sư dặn lôi điện_thoại laptop ghi_chép đó . suốt mấy điện_thoại chụp hình giảng ghi kịp thu âm quan_trọng . học dĩ_nhiên máy_móc bài , giảng học truyền_thống thôi . học_sinh máy vi môn đặc_biệt thuyết_trình lí . học_sinh điện_thoại quay / chụp lén kiểm_soát .",0
tui cực sợ rắn clip tui cực mắc_cười xd,0
phản_ánh thực_tế giàu nghèo lớn . đứa trẻ bánh_trung_thu gì . chạnh_lòng .,0
messi trận .,0
kẻ dở_hơi !,1
"thể xót bé rơi này . căm_phẫn đi này . mong bé khoẻ_mạnh . công_tác bảo_vệ sống thai_nhi tuyệt_vời , mong sức_khoẻ .",0
kia - soluto tí_tẹo .,0
may rắn_độc cá diêm vương,0
"công_an thực_hiện nhiệm_vụ vô tuyệt_vời dân , nước . nhiệm_vụ vô nguy_hiểm côn_đồ súng bắt bọn buôn ma_tuý lớn . cảm ởn ! ! ! ! !",0
vụ không scandal !,0
"lẽ lý miền nam màu_da sạm đồng_bào miền bắc , vì món chút đường .",0
đọc căm hờnmặt thú chẳng lương trisói lang chẳng chút bixuống tàn_bạo chi hung thầnvừa tồi ác bầnkịch khung xử chẳng nươngđau thắp nén hươngtiễn chốn thiên_đường xăm .,1
,0
mong quyền thành_phố dẹp giang_hồ nhờ .,0
biden - harris thắng .,0
"nhập két 24 chai 60 ngàn 2.500 đ / chai . bao_nhiêu lượt vận_chuyển , bôc vác lưu kho , bổ béo niên uống mấy chai",0
"xinh_đẹp , tài_giỏi , có trình_độ , hiểu rộng đi diễn_viên .",0
"cảm_ơn tất , vô_ơn yêu_mến : việt nam :",0
"bàn nhẹn quá , chúc_mừng chú , gia_đình quan_trọng",0
cái đầm cửanh hà kiều trông nhạt nhẽo quá !,1
đẹp,0
sĩ_quan thẳng_thắn mẽ . hy_vọng biden trở_thành tân_tổng_thống hoa_kỳ,0
"hở 1 kêu_gọi hi_sinh kinh_tế , hợp_lí , chống dịch sống không kinh_tế sống kiểu",0
thơ gắn liền hai tác_phẩm . dế_mèn phiêu_lưu ký bẩy viên ngọc rồng . tác_phẩm khác . tết mèo con . giờ già rùi,0
đầu_tiên quê_hương ninh_bình thí_sinh kết . chúc cháu thành_công vinh_quang,0
"messi nguy_hiểm . đối_thủ lo kèm messi . quên trái bóng thiết chân messi nữa , vị_trí cầu_thủ chiếm trống . bóng_đá hiện_đại thế . chúc_mừng barca đi hướng . chúc_mừng messi trút áp_lực .",0
chúc_mừng cảm_ơn bạn . hy_vọng netflix mua quyền phát_hành online toàn giới phim ròm tụi thể thưởng_thức .,0
london dân_biểu tình đòi tháo khẩu_trang ra .,0
thể rời clb . messi cầu_thủ thời_đại đội bóng ấy . sở_hữu messi đảm_bảo thành_công .,0
"học đại_học mấy vô_thức , quan_trọng",1
"quê_hương đất quảng hào kiên_cường thời_kỳ , sinh kiệt rạng_rỡ đất việt . cảm_ơn tác_giả .",0
"1 . tham_gia bảo_hiểm cần , không tham_gia được nữa , được phí cao . 2 . tham_gia phí đóng thấp 3 . nằm 1 chỗ , đóng bỉm bảo_hiểm lợi chỗ",0
luật sức dăn đeđã luật thực_hiện đúng.dù ai ? chứ . giam 6 vờ_vĩnh ốm_yếu xong .,1
"ngoại_ngữ tiếng_mẹ_đẻ thôi ,",0
"thắng vui rồi ! đội bóng đội vùi_dập đối_thủ đẹp trời kiếm 3 tốt ! chúc_mừng gooner , này , arsenal đặc_biệt !",0
"sống người , ghét đứa to xác lười_biếng bám thân_xác mẹ gầy_guộc .",1
mấy kiểu việt_nam,0
niên dãi kiến_thức phòng chủ_quan hệ_luỵ tốt .,0
"sống khăn thiết sinh_đẻ quá , lo miếng ăn , đảm_bảo học_hành cái , khổ đời_đời thôi .",0
"nặng , chỉ đơn_giản bé học lớp 1 học kịp nổi chương_trình",0
"tập thời_gian đó , hình_học lớp 5,6 , tui sinh 1984 cảm_giác truyện ok thời đọc truyện chữ",0
chợ đông,0
"khả_năng lõi mặt_trời sống cao ? ngược trái_đất , lõi mặt_trời át mẻ",0
khả_năng 99% trump tín_nhiệm tái đắc_cử .,0
sửa_chữa vật trưng_bầy mỹ_thuật toà không mỹ_thuật không viện_bảo_tàng mỹ_thuật .,0
lành bệnh cố_gắng kiếp an_toàn kiếm tiền chị . gd thốn vật_chất cảnh thốn - mẹ đâu .,0
"gửi bé 1 sở thiện nguyện bé được 1 sống 1 người , học",0
đọc báo binden_trump tất mặt . nhân ủng_hộ tất,0
đề_nghị trái nhá .......,0
gắt_gao sân_bay kẻo cộng_đồng nguy_hiểm : (,0
ly vĩnh_viễn xã_hội . mong cháu xoá sạch kỹ ức đau_khổ,1
"phân_vân kona đặc_biệt seltos 1.4 pre . với kona em seltos phanh ba , hệ_thống chống trượt thân xe , hỗ_trợ dốc , cảnh_báo mù cảm_biến áp xuất lốp . toàn công_nghệ an_toàn thaco cắt đi .",0
"trang sánh seltos luxury luôn : thiết_kế đẹp , rộng hơn , hàng ghế rộng hoà sau ) . sánh chọn , 50/50 . kona ( hơn an_toàn ) phát_biểu xe xd",0
wakanda_forever ! di_sản tiếp_tục tiếp_nối siêu hùng da_màu .,0
cá to thả nhiên đi anh .,0
"chạy kia_hyundai đánh_giá chất lắp_ráp kia_hyundai , nhựa kia lắp lởm cọt_kẹt , đi hyundai xe",0
quan_trọng linh_kiện thay hạn bảo hành.cái fadil ok nhất .,0
ly_kỳ .. !,0
nhật hàn việt nam lắp_ráp thôi . giới phẳng rồi . đâu .,0
cố hy_hữu,0
"accent cụ nhé . xe kiểu châu_âu , dáng đẹp , công_nghệ",0
phép đóng 1 dân lựa,0
"chúc cháu sức_khoẻ , hạnh_phúc thành sống học_tập cháu .",0
vios múc bác . toyota number one . đẳng_cấp .,0
"ủng_hộ trump , mong nhiệm_kỳ",0
"coi pháp_luật , hôm kỹ toàn uống bia giả , hệ_thống phân_phối",0
"cá_sấu mặn sống hội cá_heo thành thế , biết , bè ảnh_hưởng ? !",0
cầu_mong bình_an ! việt_nam cố lên ! đất chiến_thắng !,0
thành_phố bố_trí khu tạm_cư dân chờ đền_bù giải_toả này .,0
định_nghĩa diện_tích nửa tích chiều_chiều cạnh_đáy .,0
đầu xe_bồn chạy chậm dừng đèn_đỏ chạy,0
đinh tồn nay .,0
cảm_ơn 1 viết chất,0
"khiển tranh_luận thiên_vị joe ràng chẳng luật tranh_luận mà hai đồng 2 phút trình_bày quốc_dân sách cụ_thể sẽ lợi_ích đất bầu . bạn tiếng trump trò vú lấp miệng joe trình_bày . mặc_dầu joe tật cà_lăm bé joe vượt joe trình khả_năng trình_bày ràng rành_mạch sức thuyết phuc cao . mặc_dầu joe sắc_bén joe la lương_thiện khả_năng ban tham_mưu lèo lai thuyền quốc_gia hoa kỳ giông_tố , thùng rỗng thùng kêu to trump . cử_tri hoa_kỳ 36 năm , phiếu bầu_cử tri trí_thức donald_trump 3/11 nầy .",0
"dã_man quá , nhân rồi . chia buồn gia_đình nạn_nhân .",1
"45 46kg triền_miên 10 năm , 2 tập gym được 60kg . nhiều , 1 môm thể_thao cải_thiện vẻ tốt .",0
thuỳ_dung đẹp sx,0
""" dragon_soul "" chứ , gọi "" tucson_soul "" đúng . chán xe trung quốc , thời nhái xe nhái xe bình_dân , hãng xe lắm tiền đầu_tư tiền_bạc vẽ thiết_kế đặc_trưng hãng vinfast , lẫn được . tiết_kiệm đồng đi cop thiết_kế hãng xe vậy .",1
clb hn chuyên_nghiệp . giải bóng_đá phố huyện .,0
mấy anh em chê_bai hoài basa khớ khớ schalke đó . : ' ),0
"bóng_đá môn thể_thao giải_trí còm men sánh cr7 m10 gắt quá . báo , chuyên_gia hơn . ta tận_hưởng thôi.tuy nhiên chuyên_gia sánh cr7 m10 , messi sánh huyền_thoại ta ngầm messi tầm rồi .",0
"1 . tiêm 7/9 16 tiêm , không ? 2 . vaccin ? 3 . tiêm phòng lo đem gởi thế , sở ? 4 . phản_ứng tiêm phòng thiết 30 phút , tuỳ thể_trạng bé thể phản_ứng thuốc ... 5 . buồn ! ! ! ! !",0
accent ạ . hạng b chất hàn nhật thời nhau . cố chục . vios ngon khổ_nỗi vỏ tole mỏng lá lúa hơi tiếc,0
"kính chúc tổng_thống trump mau bình_phục , đắc_cử nhiệm_kỳ 2 .",0
vàng ơi . vàng 3 gấp đôi tài_sản . 3 ok .,0
vô tphcm mấy ngā tư quẹo chỗ đường góp nguy_hiểm lái_xe xe_hơi xe_máy tp đông xe_hơi quẹo quan_sát nguy_hiểm .,0
