text,label
"Biển không thể lên thăm cầu vồng, còn cầu vồng lại có thể",0
Tin vui nhất trong ngày!!!,0
Không đẹp nhưng nhiu options,0
"Cá nhân tôi càng thấy các cô muôn phần đẹp hơn trên ảnh, bởi cái đẹp tự nhiên, nếu có cũng rất ít can thiệp. Không như các chị em bây giờ ra đường cứ đơ đớ, na ná y hệt nhau phát ngán.",0
Sevilla thắng loạt đá luân lưu 5-4,0
Trông màu nướng rất đẹp. Tương lai bé sẽ kinh doanh được rồi,0
Con cái Trump thật tuyệt!,0
Cần điều tra và truy cứu trách nhiệm hình sự cả người mẹ lẫn cơ sở nạo phá thai !!!,0
"Quá chuẩn. Cần thực hiện ngay, đánh giá và nhân rộng.",0
Chúc con mau chóng hồi phục sức khoẻ nha cậu bé Hulk,0
"dịch vụ sữa chữa uy tín mới mong phát triển và canh tranh dc với các trang thương mai điện tử, giờ mọi người đã dần thay đổi thói quen đi mua tiệm và chỉ khi nào hỏng thì họ mới ra tiệm.",0
"Khi chưa có phân bón hóa học, thuốc bảo vệ thực vật thì cá, tôm, cua, ếch... trên những cánh đồng nhiều nhiều lắm. Giờ thấy bài viết đăng lên thấy nhớ cái thuở ngày xưa",0
"Trong cuộc sống cũng thế thôi, những người thiếu tự tin thường hay ngắt lời , dùng vũ lực , không để cho người khác cơ hội nói. Đôi khi điều này cũng có thể làm cho họ thắng hoặc ít nhất không cho đối thủ thể hiện mình, nhưng thực tế là họ không dám để cho người khác nói , còn kết quả ra sao thì bầu xong mới biết được.",0
Vái trời ông đừng chấn thương. NHA khốc liệt hơn nhiều và Bale ko còn trẻ khỏe như xưa,0
Cá nhân mình thì thích i10 hơn. Không biết chủ tus đi morning thấy sao chứ mình thấy bí và ồn lắm. Lại còn xe cũ thì càng khó ưng,0
Ko phải con mình thì mình có đc khóc ko? Mừng cho 2 bé quá,0
Báo con đáng yêu quá giống y như con mèo con :^*,0
