text,label
"Biển không_thể lên thăm cầu_vồng , còn cầu_vồng lại có_thể",0
Tin_vui nhất trong ngày ! ! !,0
Không đẹp nhưng nhiu options,0
"Cá_nhân tôi càng thấy các cô muôn phần đẹp hơn trên ảnh , bởi cái đẹp tự_nhiên , nếu có cũng rất ít can_thiệp . Không như các chị_em bây_giờ ra đường cứ đơ đớ , na_ná y_hệt nhau phát ngán .",0
Sevilla thắng loạt đá luân_lưu 5-4,0
Trông màu nướng rất đẹp . Tương_lai bé sẽ kinh_doanh được rồi,0
Con_cái Trump thật tuyệt !,0
Cần điều_tra và truy_cứu trách_nhiệm hình_sự cả người mẹ lẫn cơ_sở nạo_phá thai ! ! !,0
"Quá chuẩn . Cần thực_hiện ngay , đánh_giá và nhân rộng .",0
Chúc con mau_chóng hồi_phục sức_khoẻ nha cậu bé Hulk,0
"dịch_vụ sữa chữa uy_tín mới mong phát_triển và canh tranh dc với các trang thương mai điện_tử , giờ mọi người đã dần thay_đổi thói_quen đi mua tiệm và chỉ khi nào hỏng thì họ mới ra tiệm .",0
"Khi chưa có phân_bón hoá_học , thuốc bảo_vệ thực_vật thì cá , tôm , cua , ếch ... trên những cánh đồng nhiều nhiều lắm . Giờ thấy bài viết đăng lên thấy nhớ cái thuở ngày_xưa",0
"Trong cuộc_sống cũng thế thôi , những người thiếu tự_tin thường hay ngắt lời , dùng vũ_lực , không để cho người khác cơ_hội nói . Đôi_khi điều này cũng có_thể làm cho họ thắng hoặc ít_nhất không cho đối_thủ thể_hiện mình , nhưng thực_tế là họ không dám để cho người khác nói , còn kết_quả ra sao thì bầu xong mới biết được .",0
Vái trời ông đừng chấn_thương . NHA khốc_liệt hơn nhiều và Bale ko còn trẻ khoẻ như xưa,0
Cá_nhân mình thì thích i10 hơn . Không biết chủ tus đi morning thấy sao chứ mình thấy bí và ồn lắm . Lại còn xe cũ thì càng khó ưng,0
Ko phải con mình thì mình có đc khóc ko ? Mừng cho 2 bé quá,0
Báo con đáng yêu quá giống y_như con mèo con : ^ *,0
